     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     195   1.200000E+00   3.460000E-01
     196   6.290000E-01   3.470000E-01
     197   9.600000E-01   3.490000E-01
     198   7.750000E-01   3.510000E-01
     199   6.080000E-01   3.530000E-01
     200   7.760000E-01   3.540000E-01
     201   8.330000E-01   3.560000E-01
     202   3.800000E-02   3.580000E-01
     203   9.860000E-01   3.600000E-01
     204   7.190000E-01   3.620000E-01
     205   8.640000E-01   3.650000E-01
     206   1.114000E+00   3.670000E-01
     207   9.320000E-01   3.690000E-01
     208   1.270000E+00   3.720000E-01
     209   5.390000E-01   3.750000E-01
     210   1.980000E-01   3.770000E-01
     211   4.160000E-01   3.800000E-01
     212   1.443000E+00   3.830000E-01
     213   1.361000E+00   3.860000E-01
     214   1.727000E+00   3.890000E-01
     215   8.540000E-01   3.920000E-01
     216   1.213000E+00   3.960000E-01
     217   1.152000E+00   3.990000E-01
     218   3.510000E-01   4.030000E-01
     219   8.440000E-01   4.070000E-01
     220   1.315000E+00   4.100000E-01
     221   1.085000E+00   4.140000E-01
     222   1.147000E+00   4.180000E-01
     223   1.158000E+00   4.230000E-01
     224   6.140000E-01   4.270000E-01
     225   7.650000E-01   4.310000E-01
     226   8.560000E-01   4.360000E-01
     227   1.272000E+00   4.410000E-01
     228   2.196000E+00   4.460000E-01
     229   8.250000E-01   4.510000E-01
     230   1.333000E+00   4.560000E-01
     231   1.624000E+00   4.610000E-01
     232   1.794000E+00   4.670000E-01
     233   9.410000E-01   4.720000E-01
     234   1.198000E+00   4.780000E-01
     235   1.579000E+00   4.840000E-01
     236   1.153000E+00   4.900000E-01
     237   1.974000E+00   4.960000E-01
     238   1.407000E+00   5.030000E-01
     239   1.415000E+00   5.090000E-01
     240   1.943000E+00   5.160000E-01
     241   2.796000E+00   5.230000E-01
     242   1.412000E+00   5.300000E-01
     243   2.103000E+00   5.370000E-01
     244   1.965000E+00   5.440000E-01
     245   2.239000E+00   5.520000E-01
     246   2.420000E+00   5.600000E-01
     247   1.634000E+00   5.670000E-01
     248   1.572000E+00   5.750000E-01
     249   2.842000E+00   5.840000E-01
     250   2.286000E+00   5.920000E-01
     251   1.453000E+00   6.010000E-01
     252   2.931000E+00   6.090000E-01
     253   2.430000E+00   6.180000E-01
     254   2.948000E+00   6.270000E-01
     255   2.731000E+00   6.370000E-01
     256   2.960000E+00   6.460000E-01
     257   2.583000E+00   6.560000E-01
     258   4.099000E+00   6.650000E-01
     259   3.301000E+00   6.750000E-01
     260   3.058000E+00   6.850000E-01
     261   4.391000E+00   6.960000E-01
     262   3.344000E+00   7.060000E-01
     263   3.731000E+00   7.170000E-01
     264   3.639000E+00   7.270000E-01
     265   4.231000E+00   7.380000E-01
     266   2.828000E+00   7.500000E-01
     267   3.506000E+00   7.610000E-01
     268   5.015000E+00   7.720000E-01
     269   5.574000E+00   7.840000E-01
     270   4.774000E+00   7.960000E-01
     271   5.700000E+00   8.080000E-01
     272   3.972000E+00   8.200000E-01
