     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     189  -3.593500E+01   9.062000E+00
     190  -2.955600E+01   9.058000E+00
     191  -2.855000E+01   9.054000E+00
     192  -2.725900E+01   9.051000E+00
     193  -3.438700E+01   9.050000E+00
     194  -2.265000E+00   9.049000E+00
     195  -1.921600E+01   9.050000E+00
     196  -3.077000E+00   9.052000E+00
     197  -1.847900E+01   9.055000E+00
     198  -1.506000E+01   9.060000E+00
     199  -6.163000E+00   9.066000E+00
     200  -1.334600E+01   9.073000E+00
     201  -1.867800E+01   9.083000E+00
     202  -5.995000E+00   9.094000E+00
     203  -1.006300E+01   9.106000E+00
     204   6.013000E+00   9.121000E+00
     205  -2.356000E+00   9.137000E+00
     206  -5.320000E+00   9.156000E+00
     207  -6.082000E+00   9.176000E+00
     208  -2.137900E+01   9.198000E+00
     209  -1.419000E+01   9.223000E+00
     210   1.351600E+01   9.249000E+00
     211   1.520000E+00   9.277000E+00
     212   5.649000E+00   9.308000E+00
     213   4.296000E+00   9.341000E+00
     214   1.030500E+01   9.376000E+00
     215   2.414700E+01   9.413000E+00
     216  -5.133000E+00   9.453000E+00
     217   8.232000E+00   9.494000E+00
     218   1.445700E+01   9.538000E+00
     219   1.244800E+01   9.584000E+00
     220   2.244400E+01   9.632000E+00
     221   9.738000E+00   9.682000E+00
     222   9.417000E+00   9.734000E+00
     223   2.777900E+01   9.789000E+00
     224   2.722200E+01   9.845000E+00
     225   2.560000E+01   9.904000E+00
     226   2.421900E+01   9.964000E+00
     227   2.615500E+01   1.002700E+01
     228   3.487800E+01   1.009100E+01
     229   5.786000E+00   1.015700E+01
     230   6.534000E+00   1.022500E+01
     231   3.174400E+01   1.029500E+01
     232   3.732000E+01   1.036600E+01
     233   4.999200E+01   1.044000E+01
     234   2.410200E+01   1.051400E+01
     235   2.753100E+01   1.059000E+01
     236   4.072500E+01   1.066800E+01
     237   4.674800E+01   1.074700E+01
     238   2.739900E+01   1.082700E+01
     239   5.141100E+01   1.090800E+01
     240   6.447000E+01   1.099100E+01
     241   6.789300E+01   1.107400E+01
     242   3.210100E+01   1.115900E+01
     243   6.000700E+01   1.124400E+01
     244   4.088400E+01   1.133000E+01
     245   5.980900E+01   1.141700E+01
     246   6.314100E+01   1.150400E+01
     247   5.371900E+01   1.159200E+01
     248   5.508800E+01   1.168100E+01
     249   4.036200E+01   1.177000E+01
     250   4.598900E+01   1.185900E+01
     251   3.352400E+01   1.194900E+01
     252   7.300400E+01   1.203900E+01
     253   6.513800E+01   1.212900E+01
     254   5.937600E+01   1.221900E+01
     255   6.506500E+01   1.230900E+01
     256   8.952100E+01   1.239900E+01
     257   5.339600E+01   1.248800E+01
     258   7.146600E+01   1.257800E+01
     259   6.865800E+01   1.266700E+01
     260   1.021710E+02   1.275500E+01
     261   7.355500E+01   1.284300E+01
     262   8.619700E+01   1.293100E+01
     263   9.055500E+01   1.301800E+01
     264   1.014190E+02   1.310400E+01
     265   8.099200E+01   1.318900E+01
     266   7.561600E+01   1.327400E+01
     267   9.046500E+01   1.335800E+01
     268   9.087300E+01   1.344000E+01
     269   1.074840E+02   1.352200E+01
     270   6.803600E+01   1.360300E+01
     271   1.049120E+02   1.368300E+01
     272   9.739600E+01   1.376100E+01
     273   1.109180E+02   1.383800E+01
     274   1.126140E+02   1.391400E+01
     275   1.099240E+02   1.398900E+01
     276   8.979200E+01   1.406200E+01
     277   1.368520E+02   1.413400E+01
     278   8.959600E+01   1.420400E+01
     279   1.128210E+02   1.427300E+01
     280   8.703300E+01   1.434000E+01
     281   9.198900E+01   1.440600E+01
     282   1.209650E+02   1.447000E+01
     283   1.190950E+02   1.453200E+01
     284   1.140520E+02   1.459300E+01
     285   1.217920E+02   1.465200E+01
     286   9.894500E+01   1.470900E+01
     287   1.008740E+02   1.476400E+01
     288   8.430200E+01   1.481800E+01
     289   1.181170E+02   1.486900E+01
     290   1.202080E+02   1.491900E+01
     291   9.705400E+01   1.496700E+01
     292   1.142170E+02   1.501200E+01
     293   1.184100E+02   1.505600E+01
     294   1.063700E+02   1.509800E+01
     295   1.324320E+02   1.513700E+01
     296   1.218990E+02   1.517500E+01
     297   1.239320E+02   1.521100E+01
     298   1.065250E+02   1.524400E+01
     299   1.024930E+02   1.527600E+01
     300   1.314190E+02   1.530500E+01
     301   1.135580E+02   1.533200E+01
     302   1.135600E+02   1.535700E+01
     303   1.135700E+02   1.538000E+01
     304   1.411400E+02   1.540100E+01
     305   1.209780E+02   1.542000E+01
     306   1.081370E+02   1.543700E+01
     307   1.008650E+02   1.545100E+01
     308   1.293340E+02   1.546400E+01
     309   1.113040E+02   1.547400E+01
     310   9.585500E+01   1.548200E+01
     311   1.565980E+02   1.548800E+01
     312   1.167340E+02   1.549200E+01
     313   1.246030E+02   1.549400E+01
     314   1.103700E+02   1.549400E+01
     315   1.265910E+02   1.549100E+01
     316   1.369830E+02   1.548700E+01
     317   1.008580E+02   1.548100E+01
     318   8.744700E+01   1.547200E+01
     319   1.058160E+02   1.546200E+01
     320   1.092130E+02   1.545000E+01
     321   7.979700E+01   1.543500E+01
     322   1.609200E+02   1.541900E+01
     323   1.105810E+02   1.540100E+01
     324   1.214170E+02   1.538100E+01
     325   1.331900E+02   1.535900E+01
     326   1.316120E+02   1.533500E+01
     327   1.369020E+02   1.531000E+01
     328   1.218370E+02   1.528200E+01
     329   1.110290E+02   1.525300E+01
     330   1.079270E+02   1.522300E+01
     331   1.163240E+02   1.519000E+01
     332   1.121590E+02   1.515700E+01
     333   8.872200E+01   1.512100E+01
     334   9.504600E+01   1.508400E+01
     335   1.097740E+02   1.504600E+01
     336   1.185480E+02   1.500600E+01
     337   9.510600E+01   1.496500E+01
     338   8.540000E+01   1.492200E+01
     339   1.038900E+02   1.487800E+01
     340   1.258340E+02   1.483300E+01
     341   1.192290E+02   1.478700E+01
     342   1.088470E+02   1.473900E+01
     343   7.790200E+01   1.469000E+01
     344   8.238300E+01   1.464100E+01
     345   8.928300E+01   1.459000E+01
     346   9.411700E+01   1.453900E+01
     347   8.611900E+01   1.448600E+01
     348   8.148100E+01   1.443300E+01
     349   8.917300E+01   1.437900E+01
     350   9.691200E+01   1.432400E+01
     351   9.520500E+01   1.426900E+01
     352   8.321600E+01   1.421300E+01
     353   8.274700E+01   1.415700E+01
     354   1.073580E+02   1.410000E+01
     355   6.055100E+01   1.404200E+01
     356   9.148900E+01   1.398500E+01
     357   6.767900E+01   1.392700E+01
     358   6.876400E+01   1.386800E+01
     359   7.237800E+01   1.381000E+01
     360   9.328000E+01   1.375200E+01
     361   6.544800E+01   1.369300E+01
     362   7.494600E+01   1.363500E+01
     363   5.874800E+01   1.357600E+01
     364   7.467800E+01   1.351800E+01
     365   6.881100E+01   1.346000E+01
     366   3.884100E+01   1.340200E+01
     367   4.096700E+01   1.334400E+01
     368   6.873200E+01   1.328700E+01
